DATE_TIME,PLANT_ID,SOURCE_KEY,DC_POWER,AC_POWER,DAILY_YIELD,TOTAL_YIELD,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY_OF_WEEK,MONTH,CONVERSION_EFFICIENCY,EXPECTED_AC_POWER
2020-05-15 00:00:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,25.184316133333333,22.8575074,0.0,0,0,4,5,,0.0
2020-05-15 00:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,25.08458866666667,22.761667866666663,0.0,0,15,4,5,,0.0
2020-05-15 00:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.935752600000004,22.59230553333333,0.0,0,30,4,5,,0.0
2020-05-15 00:45:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.8461304,22.36085213333333,0.0,0,45,4,5,,0.0
2020-05-15 01:00:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.621525357142858,22.165422642857145,0.0,1,0,4,5,,0.0
2020-05-15 01:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.5360922,21.968570866666667,0.0,1,15,4,5,,0.0
2020-05-15 01:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.638673866666664,22.352925666666668,0.0,1,30,4,5,,0.0
2020-05-15 01:45:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.87302233333333,23.1609192,0.0,1,45,4,5,,0.0
2020-05-15 02:00:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.936930466666663,23.026113,0.0,2,0,4,5,,0.0
2020-05-15 02:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,25.0122476,23.343229266666665,0.0,2,15,4,5,,0.0
2020-05-15 02:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,25.005149333333332,23.639459266666663,0.0,2,30,4,5,,0.0
2020-05-15 02:45:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.993019533333328,24.0394858,0.0,2,45,4,5,,0.0
2020-05-15 03:00:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,25.016309428571425,24.384135571428573,0.0,3,0,4,5,,0.0
2020-05-15 03:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.985215266666664,24.35150773333333,0.0,3,15,4,5,,0.0
2020-05-15 03:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.93773193333333,24.060296533333336,0.0,3,30,4,5,,0.0
2020-05-15 03:45:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.87909953333333,23.709794133333336,0.0,3,45,4,5,,0.0
2020-05-15 04:00:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.6789022,22.58994153333333,0.0,4,0,4,5,,0.0
2020-05-15 04:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.3519308,21.78364253333333,0.0,4,15,4,5,,0.0
2020-05-15 04:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.0626222,21.85252493333333,0.0,4,30,4,5,,0.0
2020-05-15 04:45:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.013224200000003,22.306315,0.0,4,45,4,5,,0.0
2020-05-15 05:00:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.1771058,22.551908466666664,0.0,5,0,4,5,,0.0
2020-05-15 05:15:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.304888,22.979492071428577,0.0,5,15,4,5,,0.0
2020-05-15 05:30:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.328727266666665,23.452380466666668,0.0,5,30,4,5,,0.0
2020-05-15 05:45:00,4135001,1BY6WEcLGh8j5v7,0.0,0.0,0.0,6259559.0,24.28921113333333,23.09669193333333,0.0008627212413333,5,45,4,5,,0.4981501683854537
2020-05-15 06:00:00,4135001,1BY6WEcLGh8j5v7,37.14285714,3.585714286,0.0,6259559.0,24.088446066666663,22.2067566,0.0058869571866666,6,0,4,5,0.0965384615535799,3.268255633973148
2020-05-15 06:15:00,4135001,1BY6WEcLGh8j5v7,278.0,26.8625,2.625,6259561.625,24.01163526666667,22.35345866666667,0.0222816074666666,6,15,4,5,0.09662769784172662,12.451774788325581
2020-05-15 06:30:00,4135001,1BY6WEcLGh8j5v7,626.5714286,60.68571429,13.28571429,6259572.286,23.976731266666665,22.893282,0.0494097238666666,6,30,4,5,0.0968536251734221,28.27876855054322
2020-05-15 06:45:00,4135001,1BY6WEcLGh8j5v7,1224.75,119.275,34.875,6259593.875,24.21899,24.442443933333333,0.0953944536,6,45,4,5,0.09738722188201675,58.291839591724205
2020-05-15 07:00:00,4135001,1BY6WEcLGh8j5v7,1734.571429,170.0142857,72.71428571,6259631.714,24.5373984,27.185652866666665,0.1419404433333333,7,0,4,5,0.09801515397841826,96.46859050501925
2020-05-15 07:15:00,4135001,1BY6WEcLGh8j5v7,1856.375,181.9375,116.25,6259675.25,24.8159595,28.888477857142853,0.1547126757142856,7,15,4,5,0.098006868224362,111.73534266478656
2020-05-15 07:30:00,4135001,1BY6WEcLGh8j5v7,1842.285714,180.5857143,162.4285714,6259721.429,24.988789866666668,29.6056438,0.1487991533333333,7,30,4,5,0.09802264270285711,110.1323682832062
2020-05-15 07:45:00,4135001,1BY6WEcLGh8j5v7,1877.875,184.0625,206.375,6259765.375,25.21618033333333,29.547110933333336,0.1447934189333333,7,45,4,5,0.09801637489183253,106.95568029099516
2020-05-15 08:00:00,4135001,1BY6WEcLGh8j5v7,3246.0,318.6714286,263.5714286,6259822.571,25.41951306666667,31.412544733333327,0.2016386213333333,8,0,4,5,0.09817357627849661,158.3495553150248
2020-05-15 08:15:00,4135001,1BY6WEcLGh8j5v7,3917.5,384.8375,359.875,6259918.875,25.95908213333333,35.5287108,0.3457076533333333,8,15,4,5,0.09823548181238034,307.0636809156664
2020-05-15 08:30:00,4135001,1BY6WEcLGh8j5v7,4322.0,424.1285714,464.0,6260023.0,26.430782066666666,40.3180586,0.4053485726666666,8,30,4,5,0.09813247834335956,408.5716876550255
2020-05-15 08:45:00,4135001,1BY6WEcLGh8j5v7,4257.125,417.7875,556.125,6260115.125,26.8318298,39.08195373333332,0.3124267953333332,8,45,4,5,0.09813841501013008,305.25623900677317
2020-05-15 09:00:00,4135001,1BY6WEcLGh8j5v7,5706.714286,559.2285714,688.8571429,6260247.857,27.6209698,45.0092326,0.6231526486666666,9,0,4,5,0.09799484315728364,701.1905627286019
2020-05-15 09:15:00,4135001,1BY6WEcLGh8j5v7,4015.5,394.0125,811.625,6260370.625,27.988362071428572,46.6177065,0.3448840357142857,9,15,4,5,0.0981228987672768,401.9425688366022
2020-05-15 09:30:00,4135001,1BY6WEcLGh8j5v7,3219.285714,315.8857143,886.5714286,6260445.571,27.516727866666667,39.136326,0.2492484,9,30,4,5,0.09812291991552012,243.86666593445997
2020-05-15 09:45:00,4135001,1BY6WEcLGh8j5v7,6454.428571,632.3428571,991.4285714,6260550.429,27.450107666666668,40.93057693333333,0.5412059773333334,9,45,4,5,0.0979703857814991,553.7968223005464
2020-05-15 10:00:00,4135001,1BY6WEcLGh8j5v7,6008.375,588.775,1161.25,6260720.25,28.632191866666663,52.5477356,0.670675372,10,0,4,5,0.0979923856283937,881.0618030321912
2020-05-15 10:15:00,4135001,1BY6WEcLGh8j5v7,6637.285714,650.0285714,1307.571429,6260866.571,28.768912733333337,47.633738,0.5722834766666666,10,15,4,5,0.09793590323057774,681.5000297317278
2020-05-15 10:30:00,4135001,1BY6WEcLGh8j5v7,4399.75,431.875,1440.0,6260999.0,29.35144260000001,49.249723266666656,0.4551483833333333,10,30,4,5,0.09815898630604011,560.3982981109345
